,Unnamed: 0,BathroomCount,BedroomCount,ConstructionYear,Country,District,Fireplace,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,Locality,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
27739,43846,1.0,3,,Belgium,Gent,,NON_FLOOD_ZONE,,1.0,30.0,INSTALLED,240.0,Deinze,0.0,3.0,B,9800,880,11456376,East Flanders,Flanders,,,AS_NEW,house,240.0,0.0,1.0,1.0,1,residential_monthly_rent
27793,43902,2.0,4,1971.0,Belgium,Brugge,,NON_FLOOD_ZONE,,,,,221.0,Knokke,0.0,4.0,C,8300,1650,20007026,West Flanders,Flanders,1.0,0.0,AS_NEW,villa,861.0,,1.0,2.0,1,residential_monthly_rent
27817,43927,2.0,3,,Belgium,Gent,,,,,,,300.0,Sint-Martens-Latem,0.0,4.0,C,9830,2700,20006992,East Flanders,Flanders,1.0,0.0,,house,3000.0,,,2.0,1,residential_monthly_rent
27821,43931,1.0,3,2023.0,Belgium,Mechelen,,NON_FLOOD_ZONE,,1.0,12.0,INSTALLED,377.0,Nijlen,0.0,4.0,A,2560,1500,11456339,Antwerp,Flanders,,,AS_NEW,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
27849,43963,,0,1991.0,Belgium,Brugge,,,,,,,220.0,Damme,0.0,4.0,,8340,800,11456290,West Flanders,Flanders,,,AS_NEW,mixed_use_building,200.0,0.0,,,1,residential_monthly_rent
27857,43971,2.0,2,2022.0,Belgium,Nivelles,,,,,,HYPER_EQUIPPED,148.0,BOUSVAL,65.0,3.0,B,1470,1860,11456281,Walloon Brabant,Wallonie,,0.0,,house,300.0,,1.0,3.0,1,residential_monthly_rent
27866,43980,2.0,4,1930.0,Belgium,Oudenaarde,,NON_FLOOD_ZONE,,1.0,60.0,,180.0,Ronse,0.0,2.0,B,9600,1100,11456249,East Flanders,Flanders,7.0,0.0,AS_NEW,mansion,80.0,,,2.0,1,residential_monthly_rent
27874,43988,1.0,3,,Belgium,Antwerp,,NON_FLOOD_ZONE,,,,INSTALLED,150.0,BROECHEM,0.0,2.0,,2520,1475,11456231,Antwerp,Flanders,,0.0,,house,270.0,,1.0,2.0,1,residential_monthly_rent
27961,44079,1.0,3,,Belgium,Tournai,,NON_FLOOD_ZONE,,,,INSTALLED,134.0,Tournai,0.0,2.0,D,7500,800,11456193,Hainaut,Wallonie,,1.0,GOOD,house,0.0,0.0,,1.0,1,residential_monthly_rent
28058,44188,2.0,4,2001.0,Belgium,Liège,,NON_FLOOD_ZONE,,,,INSTALLED,295.0,Blégny Mortier,0.0,4.0,B,4670,2200,20006832,Liège,Wallonie,,1.0,AS_NEW,villa,2500.0,1.0,1.0,2.0,1,residential_monthly_rent
28062,44192,1.0,3,,Belgium,Gent,,RECOGNIZED_FLOOD_ZONE,,,,,,Aalter,0.0,3.0,D,9910,870,20006827,East Flanders,Flanders,1.0,0.0,GOOD,house,0.0,,,2.0,1,residential_monthly_rent
28064,44194,1.0,2,,Belgium,Brugge,,,,,,,144.0,Sint-Andries,150.0,4.0,B,8200,1050,20006826,West Flanders,Flanders,1.0,0.0,,house,0.0,,,1.0,1,residential_monthly_rent
28066,44196,0.0,5,2022.0,Belgium,Halle-Vilvoorde,,,,1.0,500.0,,250.0,STERREBEEK,0.0,4.0,,1933,2500,20006819,Flemish Brabant,Flanders,,2.0,,house,0.0,,1.0,2.0,1,residential_monthly_rent
28073,44204,2.0,2,,Belgium,Brugge,,,,,,,,Brugge,0.0,4.0,B,8000,1650,20006807,West Flanders,Flanders,1.0,0.0,,house,0.0,,,2.0,1,residential_monthly_rent
28134,44277,1.0,3,,Belgium,Liège,,,,1.0,1.0,INSTALLED,,Sprimont,0.0,4.0,C,4140,1320,20006723,Liège,Wallonie,,,AS_NEW,house,2500.0,0.0,1.0,2.0,1,residential_monthly_rent
28148,44292,1.0,3,1998.0,Belgium,Liège,,,,1.0,180.0,USA_INSTALLED,,Alleur,0.0,2.0,B,4432,1080,20006704,Liège,Wallonie,,1.0,GOOD,town_house,250.0,0.0,1.0,2.0,1,residential_monthly_rent
